recipe,calories,carbohydrate,sugar,protein,category,servings,high_traffic
117,NA,NA,NA,NA,Chicken Breast,6,High
118,209.65,49.36,0.96,2.15,Breakfast,4,NA
119,28.83,31.55,38.36,3.57,Dessert,2,NA
120,443.2,16.2,10.35,0.01,Vegetable,4,High
121,1114.94,31.45,13.02,1.33,Meat,2,High
122,NA,NA,NA,NA,Dessert,2,High
123,384.59,1.93,8.6,0.86,Beverages,1,NA
124,38.92,12.9,11.32,69.53,Chicken Breast,1,NA
125,2906.01,3.52,1.89,179.22,Pork,6,High
126,180.42,9.64,6.87,15.59,Breakfast,4,High
127,324,79.18,1.7,7.03,One Dish Meal,4,High
128,960.75,190.84,4.13,96.91,One Dish Meal,4,High
129,72.71,38.4,4.37,7.44,Breakfast,4,NA
130,528.9,18.65,3.31,6.04,Potato,4,NA
131,190.52,2.57,0.56,1.58,Beverages,6,NA
132,160.08,14.21,10.22,3.81,Potato,4,High
133,93.62,3.74,29.41,4.62,Dessert,4,High
134,959.51,4.4,44.54,12.12,Dessert,1,NA
135,104.25,44.61,5.12,2.89,Vegetable,4,High
136,115.95,156.23,7.9,49.63,One Dish Meal,4,High
137,NA,NA,NA,NA,One Dish Meal,2,High
138,24.05,59.63,0.31,142.03,Chicken Breast,4,High
139,96.06,51.94,2.65,13.07,Breakfast,6,High
140,13.62,92.02,0.89,44.92,One Dish Meal,1,High
141,4.22,3.46,10.93,0.74,Beverages,6,NA
142,24.21,67.02,13.47,7.82,Breakfast,6,NA
143,94.41,25.98,23.79,1.49,Dessert,4,High
144,42.01,12,11.7,1.32,Beverages,1,NA
145,296.92,1.42,11.15,25.19,Breakfast,2,High
146,258.16,7.53,1.2,40.32,Chicken,6,NA
147,229.58,39.93,1.09,6.66,Potato,4,High
148,1568,15.49,5.23,53.23,Chicken,1,NA
149,205.98,61.85,2.89,14.45,Chicken,4,High
150,NA,NA,NA,NA,Potato,2,High
151,286.54,21.1,1.53,4.1,Breakfast,6,High
152,311.39,43.2,1.13,3.36,Vegetable,1,High
153,178.98,4.34,17.29,18.49,Vegetable,4,High
154,272.31,73.05,7.68,0.29,Beverages,2,NA
155,188.42,34.29,5.55,3.15,Breakfast,4,High
156,836.95,32.82,59.04,0.32,Beverages,2,NA
157,81.01,0.35,1.27,1.19,Beverages,4,NA
158,766.8,13.6,8.27,17.85,Lunch/Snacks,6,NA
159,335.43,23.88,2.77,38.18,Vegetable,6,High
160,777.37,101.73,2.52,5.12,Dessert,4,High
161,353.58,12.82,1.02,6.39,One Dish Meal,1,High
162,859.11,73.16,14.6,3.3,Dessert,6,High
163,935.77,8.74,2.39,71.88,Chicken Breast,2,NA
164,379.87,13.94,0.57,43.68,Chicken,4,High
165,18.62,22.46,10.06,1.12,Beverages,6,NA
166,181.1,7.33,2.4,104.07,Chicken Breast,1,High
167,25.83,0.13,2.24,28.6,Chicken Breast,6,NA
168,4.41,239.06,19.54,3.76,Dessert,1,High
169,1044.92,24.34,5.6,4.66,Chicken Breast,4,NA
170,607.13,23,39.52,26.15,Breakfast,4,High
171,431.28,14.69,4.17,32.79,One Dish Meal,2,High
172,76.08,13.95,8.59,1.05,Beverages,4,NA
173,98.76,7.28,16.56,1.15,Beverages,4,NA
174,180.52,12.4,24.65,5.08,Dessert,2,High
175,16.58,5.66,14.41,19.94,Breakfast,6,High
176,382.85,3.38,44.22,0.36,Beverages,2,NA
177,918.21,13.01,7.68,122.39,Chicken Breast,4,NA
178,114,113.65,3.1,26.36,Lunch/Snacks,4,NA
179,336.52,1.05,1.89,5.22,Lunch/Snacks,2,NA
180,410.34,28.09,3.5,128.84,Chicken Breast,4,High
181,44.77,11.91,7.93,1.07,Potato,6,High
182,580.94,23.16,20.99,5.63,Dessert,6,High
183,699.44,56.65,3.2,3.48,Vegetable,4,High
184,61.8,6.28,0.72,15.46,Vegetable,4,NA
185,62.59,23.96,6.25,30.83,One Dish Meal,6,NA
186,1266.75,154.18,0.59,0.46,Lunch/Snacks,4,High
187,515.49,5.88,13.29,13.96,Lunch/Snacks,1,High
188,NA,NA,NA,NA,Pork,4,High
189,181.86,33.04,44.67,5.48,Dessert,4,High
190,529.68,23.75,2.28,15.81,Breakfast,1,High
191,1330.3,1.63,6.39,70.31,Meat,4,NA
192,646.15,22.1,39.34,16.73,Dessert,6,NA
193,1243.9,74.77,0.75,8.2,Lunch/Snacks,2,NA
194,497.71,3.73,18.85,8.09,Chicken Breast,2,High
195,267.51,15.99,5.77,0.95,Dessert,1,NA
196,336.27,37.38,6.53,23.12,Lunch/Snacks,1,High
197,216.1,7.93,1.2,151.64,Chicken,6,NA
198,278.05,9.85,12.93,26.75,Chicken Breast,6,High
199,641.05,26.99,1.08,20.2,Meat,1,NA
200,52.32,2.84,2.96,88.21,Meat,4,High
201,89.72,10.83,2.26,4.52,Vegetable,2,High
202,113.97,12.54,0.64,7.93,Vegetable,6,High
203,648.05,19.28,0.19,35.28,Breakfast,2,NA
204,66.16,10.45,1.07,8.81,One Dish Meal,2,High
205,258.33,5.22,8.23,29.05,Breakfast,1,High
206,283.72,34.05,1.63,0.92,Lunch/Snacks,6,High
207,551.7,1.11,5.9,186.18,Pork,4,High
208,20.98,1.26,9.8,0.82,Beverages,1,NA
209,10.21,44.63,17.74,13.51,Pork,4,High
210,NA,NA,NA,NA,Dessert,2,High
211,1165.14,0.14,4.36,9.64,Potato,1,High
212,310.1,48.58,35.01,40.12,Pork,4,High
213,NA,NA,NA,NA,Dessert,4,High
214,816.25,5.42,8.24,37.47,Meat,1,High
215,299.32,9.58,2.5,125.5,Chicken,6,High
216,280.13,1.1,7.58,0.56,Beverages,2,NA
217,25.51,40.64,1.67,3.26,Lunch/Snacks,2,High
218,1292.18,89.2,14.22,80.03,Chicken Breast,4,High
219,166.44,0.53,29.68,4.86,Dessert,6,High
220,1330.48,10.34,5.22,77.57,Chicken Breast,1,NA
221,625.76,23.38,11.99,25.79,Breakfast,2,High
222,NA,NA,NA,NA,Dessert,1,NA
223,48.11,5.13,0.29,0.51,Lunch/Snacks,4,High
224,62.85,29.98,4.41,40.65,Chicken Breast,4,NA
225,191.89,19.29,5.49,3.71,Potato,4,High
226,133.8,5.48,0.44,57.76,Pork,6,High
227,2703.12,6.4,2.17,28.2,Pork,6,High
228,124.79,158.92,1.76,23.07,Breakfast,1,High
229,0.14,18.12,11.15,87.34,Lunch/Snacks,2,High
230,393.73,39.26,1.33,17.38,Chicken,1,NA
231,418.22,32.08,19.78,0.29,Beverages,1,NA
232,247.79,32.82,4.57,10.06,Vegetable,2,High
233,207.37,12.05,22.03,0.38,Beverages,4,NA
234,523.69,1.98,0.72,41.55,Chicken Breast,6,High
235,627.16,34.96,41.5,16.15,Dessert,6,NA
236,357.15,39.67,2.24,38.63,Chicken Breast,4,NA
237,482.99,53.73,6.53,3.46,Dessert,6,High
238,158.64,45.71,4.66,91.16,Chicken Breast,2,NA
239,581.7,11.48,7.94,13.64,Chicken,4,High
240,593.56,243.2,0.6,2.56,Chicken,2,NA
241,539.78,14.84,17.29,21.55,One Dish Meal,2,NA
242,791.99,56.12,2.47,2.77,Potato,4,High
243,1550.2,72.86,1.49,40.33,Chicken Breast,4,High
244,653.9,111.8,5.04,0.36,Potato,6,High
245,160.43,11.37,0.6,0.24,Potato,6,High
246,337.48,27.98,2.26,19.05,Potato,2,High
247,71.97,16.94,0.95,3.37,Vegetable,2,High
248,542.49,6.93,26.16,29.67,Lunch/Snacks,4,NA
249,208.87,32.34,7.41,6.42,Chicken,6,NA
250,NA,NA,NA,NA,Chicken,6,NA
251,768.51,2.32,4.71,11.19,Chicken,4,NA
252,129.03,51.57,7.66,6.05,Lunch/Snacks,4,High
253,44.02,6.95,1.23,2.37,Vegetable,4,High
254,239.36,56.72,18.03,0.13,Beverages,1,NA
255,359,1.65,1.11,20.55,Chicken,4,High
256,866.33,45.08,7.74,64.46,One Dish Meal,1,NA
257,682.73,31.36,5.7,3.58,Potato,2,High
258,575.07,69.94,1.18,1.8,Vegetable,1,High
259,125.95,7.85,5.38,0.83,Beverages,2,NA
260,674.84,2.64,3.64,1.26,Vegetable,2,High
261,659.82,9.88,5.97,4.83,Breakfast,6,NA
262,137.63,191.21,2.05,5.33,Potato,2,High
263,NA,NA,NA,NA,Chicken,4,NA
264,462.41,3.49,6.71,0.93,Vegetable,6,High
265,362.89,34.63,1.2,7.48,Pork,2,High
266,626.61,10.72,4.47,5.9,Potato,1,High
267,436.03,7.66,22.3,23.03,Meat,4,High
268,1767.53,9.96,4.16,70.4,Pork,4,High
269,416.01,1.84,17.99,1.41,Pork,1,High
270,33.36,33.62,19.04,13.24,Breakfast,4,NA
271,457.35,12.74,4.83,21.43,Chicken Breast,4,High
272,435.94,58.65,39.46,11.18,Dessert,1,High
273,592.12,27.54,2.97,21.88,Lunch/Snacks,4,NA
274,285.01,2.2,15.81,0.76,Beverages,4,NA
275,858.67,5.07,7.47,1.84,Lunch/Snacks,1,High
276,597.55,19.65,6.19,6.63,Lunch/Snacks,6,High
277,0.76,1.9,3.76,0.05,Vegetable,2,High
278,452.39,89.19,3.73,18.72,One Dish Meal,4,NA
279,NA,NA,NA,NA,Lunch/Snacks,4,High
280,400.37,23.75,2.21,8.54,Breakfast,2,NA
281,NA,NA,NA,NA,Meat,1,High
282,409.99,13.61,1.96,8.77,Vegetable,4,High
283,31.65,5.42,6.69,13.25,Vegetable,6,High
284,114.74,32.69,10.02,87.46,Pork,6,High
285,70.81,27,11.18,0.21,Beverages,4,NA
286,1435.35,75.43,17.09,0.36,Lunch/Snacks,1,High
287,12.97,28.68,11.74,0.61,Beverages,4,NA
288,370.92,6.65,4.55,11.97,Lunch/Snacks,1,NA
289,35.63,2.52,19.21,0.18,Beverages,1,NA
290,223.01,25.99,7.52,11.69,Meat,4,High
291,239.9,51.13,131.39,3.38,Dessert,2,High
292,379.16,4.79,0.4,5.27,Chicken Breast,4,NA
293,1878.82,0.8,7.6,89.01,Chicken Breast,1,High
294,410.92,23.17,1.04,19.34,Meat,6,NA
295,242.1,6.68,0.25,29.82,Pork,4,High
296,158.46,20.62,6.3,4.75,Vegetable,2,High
297,487.86,142.22,5.21,1.09,Potato,6,High
298,NA,NA,NA,NA,Lunch/Snacks,6,NA
299,25.91,0.82,3.3,44.76,Chicken Breast,4,NA
300,1277.97,4.15,0.29,7.64,Pork,1,High
301,84.27,5.07,8.97,0.38,Beverages,1,NA
302,293.86,11.43,3.16,0.98,Vegetable,2,High
303,889.25,13.44,1.61,2.58,One Dish Meal,2,NA
304,167.09,7.7,30.73,12.87,Dessert,6,NA
305,179.45,15.19,2.23,2.53,Potato,1,High
306,649.83,21.64,1.69,0.13,Meat,2,High
307,1706.75,24.59,5.35,39.53,Meat,4,High
308,406.05,128.22,18.58,15.06,Breakfast,2,NA
309,73.91,35.05,2.09,14.68,Vegetable,6,High
310,581.04,38.52,0.1,82.85,Chicken Breast,1,High
311,908.63,42.53,1.21,46.13,Pork,4,High
312,491.01,33.94,6.08,5.45,Dessert,4,NA
313,1053.21,12.03,16.64,4.92,One Dish Meal,2,High
314,87.17,13.21,0.39,158.81,Meat,4,NA
315,135.76,21.48,7.94,7.3,Chicken Breast,4,NA
316,132.29,50.28,1.88,22.89,Breakfast,4,NA
317,166.73,15.74,4.34,169.78,Meat,4,High
318,92.21,8.53,0.24,14.14,Lunch/Snacks,4,High
319,472.91,8.68,1.91,15.08,Meat,4,High
320,409.03,71.58,5.73,125.66,Chicken Breast,2,High
321,31.75,16.71,1.02,23.14,Breakfast,1,NA
322,76.21,91.25,6.12,3.27,Dessert,4,High
323,257.71,140.96,9.46,8.77,Breakfast,6,High
324,49.5,66.64,4.69,53.33,Breakfast,4,NA
325,771.52,96.03,1.49,7.52,Dessert,4,High
326,718.34,16.61,8.54,4.52,Chicken,4,NA
327,NA,NA,NA,NA,Potato,4,High
328,798.39,0.86,0.5,0.4,Vegetable,4,High
329,561.43,11.83,9,189.33,Pork,6,High
330,552.83,39.55,3.61,48.54,Potato,4,High
331,684.88,41.08,2,1.48,Beverages,2,NA
332,970.22,177.22,1.8,6.44,Lunch/Snacks,2,High
333,20.81,33.92,5.44,18.54,Lunch/Snacks,4,High
334,561.44,43.26,0.14,96.27,Chicken Breast,6,NA
335,532.01,31.76,1.44,17.96,Lunch/Snacks,4,High
336,152.42,12.11,0.38,5.56,One Dish Meal,2,NA
337,857.34,67.38,4.97,2.8,Dessert,4,NA
338,138.11,3.7,5.24,63.56,Chicken,4,High
339,482.51,26.21,5.29,18.93,Potato,4,High
340,288.55,142.28,50.17,0.47,Dessert,4,NA
341,1251.42,12.28,0.17,0.59,Lunch/Snacks,4,High
342,23.64,102.52,14.22,61.22,One Dish Meal,4,High
343,111.1,37.55,6.6,239.57,Lunch/Snacks,2,NA
344,958.28,50.02,0.98,9.27,Breakfast,6,High
345,134.48,45.5,37.08,0.2,Chicken,4,NA
346,187.46,47.62,16.3,78.81,Pork,1,High
347,110.69,58.8,45.33,1.23,Dessert,6,High
348,416.12,3.43,1.05,10.12,Chicken,6,High
349,1199.2,40.96,1.55,29.53,Pork,6,High
350,94.27,383.06,5.98,39.61,Potato,1,High
351,45.62,15.34,3.27,2.16,Breakfast,6,High
352,NA,NA,NA,NA,Potato,4,High
353,781.15,3.91,0.39,21.41,Pork,4,High
354,1045.21,5.12,1.79,70.69,Meat,4,NA
355,NA,NA,NA,NA,Pork,4,High
356,1337.71,3.84,8.48,0.95,Vegetable,6,High
357,2282.6,4.5,4.16,31.19,One Dish Meal,4,High
358,259.36,20.05,3.45,91.16,Meat,4,High
359,231.2,15.18,6.96,70.75,Chicken,1,High
360,136.46,31.09,2.4,6.77,Potato,2,High
361,850.16,2.56,1.52,9.31,Lunch/Snacks,6,High
362,1007.85,3.43,5.78,59.23,Chicken Breast,4,High
363,521.78,76.37,12.63,8.62,Potato,6,High
364,11.6,39.04,13.91,4.06,Dessert,4,NA
365,268.04,77.7,2.43,0.88,Beverages,2,NA
366,516.76,13.59,2.96,50.19,Chicken Breast,4,NA
367,34.97,16.88,4.54,14.04,Vegetable,4,High
368,123.02,202.66,16,8.14,Dessert,6,High
369,578.4,9.43,4.4,8.36,Chicken Breast,1,High
370,199.54,9.1,8.17,10.1,Meat,6,High
371,1205.68,2.78,1.24,109.92,Meat,6,NA
372,259.95,18.93,5.08,0.33,Vegetable,6,High
373,NA,NA,NA,NA,Vegetable,2,High
374,877.29,16.62,37.05,21.09,Pork,4,High
375,298.69,1.18,11.47,0.03,Beverages,6,NA
376,265.71,11.68,11.7,0.79,Vegetable,2,High
377,NA,NA,NA,NA,Pork,6,High
378,182.21,11.66,0.91,73.94,Chicken Breast,4,High
379,235.91,43.2,41.24,4.27,Dessert,1,High
380,75.89,22.51,8.18,17.64,Meat,6,High
381,434.29,64.57,2.91,7.16,Potato,2,High
382,1362.81,26.21,1.94,125.43,Chicken Breast,4,NA
383,275.96,29.94,13.22,7.49,Chicken,1,High
384,708.64,45.44,4.55,221.91,Chicken Breast,6,High
385,338.74,70.14,0.58,13.36,Chicken,4,NA
386,75.17,6.45,8.59,0.73,Beverages,2,High
387,90.01,60.18,15.52,17.64,Breakfast,4,NA
388,2.14,20.11,0.16,1.42,Beverages,4,NA
389,NA,NA,NA,NA,Lunch/Snacks,4,High
390,255.58,47.45,1.58,4.92,Vegetable,4,High
391,259.83,89.3,1.61,6,Breakfast,4,NA
392,110.07,4.07,9.1,8.88,Potato,6,High
393,460.49,18.84,16.96,52,Chicken,4,NA
394,46.66,4.7,13.11,35.28,Chicken,1,NA
395,50.94,37.18,0.5,10.84,Breakfast,1,NA
396,90.95,15.03,5.32,19.29,Breakfast,1,High
397,64.36,11.28,12.47,20.87,Potato,4,High
398,2051.34,2.46,2.12,69.62,Chicken,2,High
399,128.3,14.75,3.01,16.34,Pork,4,High
400,71.87,31.44,1.34,32.45,Chicken Breast,2,NA
401,338.71,59.94,12.26,30.72,Breakfast,4,NA
402,633.87,16.11,2.47,7.25,Lunch/Snacks,6,NA
403,291.64,2.12,42.8,11.05,Breakfast,6,NA
404,126.96,19.11,18.17,0.18,Beverages,4,NA
405,141.15,68.04,1.48,6.95,Meat,4,High
406,NA,NA,NA,NA,Vegetable,4,High
407,169.83,42.42,1.98,31.1,Meat,4,High
408,262.09,2.8,8.68,0.08,Beverages,6,NA
409,1073.39,8.32,16.11,8.15,Lunch/Snacks,4,NA
410,108.62,13.68,6.72,0.23,Beverages,2,NA
411,378.65,38,5.39,24.04,Meat,6,NA
412,617.5,14.68,9.88,3.12,Dessert,6,High
413,237.97,3.35,1.21,5.4,Vegetable,6,High
414,150.83,118.2,0.75,6.27,Potato,4,High
415,602.74,28.03,2.92,5.8,Breakfast,1,NA
416,468.76,35.6,1.99,20.66,Meat,4,High
417,652.18,53.19,28.18,2.6,Breakfast,6,NA
418,715.66,8.98,1.97,0.93,Vegetable,4,High
419,1830.28,3.92,1.83,44.74,Chicken Breast,1,High
420,536.42,8.87,2.08,38.47,Chicken Breast,4,High
421,94.04,5.17,0.68,0.01,Beverages,2,NA
422,332.19,25.86,1.04,20.25,Meat,4,High
423,240.52,19.5,5.64,2.44,Pork,4,High
424,199.34,22.88,32.7,0.15,Beverages,2,NA
425,76.28,119.63,0.41,17.79,Lunch/Snacks,4,High
426,1263.15,5.14,16.54,100.46,Meat,2,High
427,187.41,19.12,86.97,4.49,Dessert,6,NA
428,NA,NA,NA,NA,Vegetable,4,High
429,1646.83,101.11,2.77,14.87,Meat,1,High
430,158.84,19.75,12.66,10.07,Breakfast,4,NA
431,11.73,17.57,6.07,0.91,Beverages,4,NA
432,402,47.57,0.36,0.02,Beverages,6,NA
433,999.98,36.65,5.66,16.72,Chicken Breast,4,High
434,48.93,65.68,1.62,9.55,Meat,4,High
435,310.52,12.54,3.21,1.6,Chicken Breast,6,NA
436,305.09,21.98,30.6,11.79,Lunch/Snacks,4,High
437,726.23,42.72,1.62,19.19,One Dish Meal,6,High
438,1503.92,13.49,4.79,1.9,Chicken Breast,6,NA
439,151.88,7.41,6.09,40.24,One Dish Meal,4,High
440,114.08,15.13,1.81,38.6,Chicken,1,High
441,295.62,22.47,29.72,7.76,Dessert,6,High
442,538.88,6.84,6.95,43.91,One Dish Meal,2,NA
443,108.28,60.94,7.79,55.46,One Dish Meal,4,High
444,716.79,24.93,3.32,16.11,Meat,6,High
445,245.53,4.92,22.74,82.39,Chicken,6,NA
446,374.35,15.19,9.22,2.49,Dessert,2,High
447,125.76,9.18,0.54,85.32,Chicken Breast,2,High
448,452.51,2.86,9.5,16.78,Chicken,2,NA
449,403.7,1.97,13.94,1.08,Breakfast,4,NA
450,144.28,39.63,8.81,14.59,Pork,4,High
451,182.76,530.42,5.8,5.01,Potato,4,High
452,1542.53,14.73,5.71,29.92,Lunch/Snacks,4 as a snack,High
453,361.17,21.52,3.38,19.22,Lunch/Snacks,6,NA
454,49.2,173.93,3.53,5.96,Breakfast,2,NA
455,18.23,22.32,5.14,18.37,Potato,6,High
456,NA,NA,NA,NA,Pork,6,High
457,286.7,29.92,2.8,28.07,Breakfast,4,High
458,796.74,44.85,2.36,3.44,Potato,4,High
459,259.32,90.65,3.8,85.81,One Dish Meal,1,High
460,725.82,41.68,1.51,7.78,Potato,6,High
461,1179.5,0.31,13.7,1.42,One Dish Meal,4,High
462,349.29,6.18,1.92,25.18,Vegetable,2,High
463,891.7,3,4.97,31.36,Breakfast,4,High
464,189.27,9.54,6.47,0.34,Beverages,6,NA
465,108.58,21.67,0.24,11.24,Vegetable,1,High
466,51.81,25.43,0.87,42.7,One Dish Meal,2,NA
467,47.89,4.2,11.78,0.93,Beverages,6,NA
468,29.19,1.33,66.03,2.56,Dessert,6,High
469,27.11,22.63,4.93,0,Beverages,1,NA
470,751.18,163.33,13.71,29.39,Lunch/Snacks,6,NA
471,1272.1,3.13,0.73,25.44,Chicken Breast,1,NA
472,1241.83,6.01,10.36,11.99,Pork,4,High
473,511.39,6.26,7.17,6.62,Dessert,4,High
474,67.72,11.03,5.32,40.39,Pork,1,High
475,354.02,15.36,26.97,64.15,Chicken Breast,2,High
476,54.97,3.72,7.26,1.08,Vegetable,4,High
477,553.67,2.65,1.7,7.96,Vegetable,4,High
478,28.33,66.3,0.77,10.13,Lunch/Snacks,6,NA
479,546.1,26.13,3.17,19.42,Chicken,6,High
480,525.28,62.46,1.27,10.85,Lunch/Snacks,1,High
481,394.55,50.96,2.45,66.4,Chicken,1,NA
482,392.95,103.46,4.97,1.06,Vegetable,6,High
483,920.73,9.91,38.66,0.36,Dessert,4,High
484,208.66,15.21,1.6,12.43,Chicken Breast,2,NA
485,225.87,6.19,2.97,2.89,Chicken,1,NA
486,139.19,20.1,18.4,3.95,Breakfast,4,High
487,7.55,54.19,0.91,14.18,Lunch/Snacks,1,High
488,1295.21,34.77,0.75,171.22,Meat,2,High
489,42.13,1.83,2.68,11.43,Breakfast,4,NA
490,339.8,2.81,3.03,0.24,Beverages,4,NA
491,27.78,25.23,17.58,0.04,Beverages,4,NA
492,82.32,16.44,2.86,16.22,Breakfast,2,NA
493,14.96,37.05,15.71,0.01,Beverages,4,NA
494,581.97,8.29,29.15,0.43,Beverages,4,NA
